tray,coordinate,temperature,replicate,DAS
A.1,a2,16C,rep2,14
A.1,a2,16C,rep2,15
A.1,a2,16C,rep2,16
A.1,a2,16C,rep2,17
A.1,a2,16C,rep2,18
A.1,a2,16C,rep2,19
A.1,a2,16C,rep2,20
A.1,a2,16C,rep2,21
A.1,a3,16C,rep3,0
A.1,a3,16C,rep3,1
A.1,a3,16C,rep3,2
A.1,a3,16C,rep3,3
A.1,a3,16C,rep3,4
A.1,a3,16C,rep3,5
A.1,a3,16C,rep3,6
A.1,a3,16C,rep3,7
A.1,a3,16C,rep3,8
A.1,a3,16C,rep3,9
A.1,a3,16C,rep3,10
A.1,a3,16C,rep3,11
A.1,a3,16C,rep3,12
A.1,a3,16C,rep3,13
A.1,a3,16C,rep3,14
A.1,a3,16C,rep3,15
A.1,a3,16C,rep3,16
A.1,a3,16C,rep3,17
A.1,a3,16C,rep3,18
A.1,a3,16C,rep3,19
A.1,a3,16C,rep3,20
A.1,a3,16C,rep3,21
C.1,a7,16C,rep3,10
C.1,a7,16C,rep3,11
C.1,a7,16C,rep3,12
C.1,a7,16C,rep3,13
B.7,c3,16C,rep3,11
B.7,c3,16C,rep3,12
B.7,c3,16C,rep3,13
B.7,c3,16C,rep3,14
B.7,c3,16C,rep3,15
B.7,c3,16C,rep3,16
B.7,c3,16C,rep3,17
B.7,c3,16C,rep3,18
B.7,c3,16C,rep3,19
B.7,c3,16C,rep3,20
B.7,c3,16C,rep3,21
B.7,c3,16C,rep3,22
D.6,a1,16C,rep1,7
D.6,a1,16C,rep1,8
D.6,a1,16C,rep1,9
D.6,a1,16C,rep1,10
C.3,c3,16C,rep3,8
C.3,c3,16C,rep3,11
C.3,c3,16C,rep3,12
C.3,c3,16C,rep3,13
C.3,c3,16C,rep3,15
C.3,c3,16C,rep3,16
C.3,b1,16C,rep2,0
C.3,b1,16C,rep2,1
C.3,b1,16C,rep2,2
C.3,b1,16C,rep2,3
C.3,b1,16C,rep2,4
C.3,b1,16C,rep2,5
C.3,b1,16C,rep2,6
C.3,b1,16C,rep2,7
C.3,b1,16C,rep2,8
C.3,b1,16C,rep2,9
C.3,b1,16C,rep2,10
C.3,b1,16C,rep2,11
C.3,b1,16C,rep2,12
C.3,b1,16C,rep2,13
C.3,b1,16C,rep2,14
C.3,b1,16C,rep2,15
C.3,b1,16C,rep2,16
C.3,b1,16C,rep2,17
C.3,b1,16C,rep2,18
C.3,b1,16C,rep2,19
C.3,b1,16C,rep2,20
C.3,b1,16C,rep2,21
C.9,d3,6C,rep3,0
D.4,a4,6C,rep3,0
D.9,b1,6C,rep1,5
D.9,b1,6C,rep1,6
D.9,b1,6C,rep1,7
D.9,b1,6C,rep1,8
D.9,b1,6C,rep1,9
D.9,b1,6C,rep1,10
D.9,b1,6C,rep1,11
A.2,b7,6C,rep1,18
A.2,b7,6C,rep1,19
A.2,b7,6C,rep1,20
A.2,b7,6C,rep1,21
A.2,b7,6C,rep1,22
A.5,b3,6C,rep3,19
A.5,b3,6C,rep3,20
A.5,b3,6C,rep3,21
A.5,b3,6C,rep3,22
B.7,c5,6C,rep3,0
B.7,c5,6C,rep3,1
B.7,c5,6C,rep3,2
B.7,c5,6C,rep3,3
B.9,d5,6C,rep3,0
B.9,d5,6C,rep3,1
B.9,d5,6C,rep3,2
B.9,d5,6C,rep3,3
B.9,d5,6C,rep3,4
B.9,d5,6C,rep3,5
B.9,d5,6C,rep3,6
C.9,c3,6C,rep3,15
C.9,c3,6C,rep3,16
C.9,c3,6C,rep3,17
C.9,c3,6C,rep3,18
C.9,c3,6C,rep3,19
C.9,c3,6C,rep3,20
C.9,c3,6C,rep3,21
C.9,c3,6C,rep3,22
C.6,d5,6C,rep1,6
C.6,d5,6C,rep1,7
C.6,d5,6C,rep1,8
A.6,e4,6C,rep2,0
B.3,b6,16C,rep3,0
B.3,b6,16C,rep3,1
B.3,b6,16C,rep3,2
B.3,b6,16C,rep3,3
B.3,b6,16C,rep3,4
B.3,b6,16C,rep3,5
B.3,b6,16C,rep3,6
B.3,b6,16C,rep3,7
B.3,b6,16C,rep3,8
B.3,b6,16C,rep3,9
B.3,b6,16C,rep3,10
B.3,b6,16C,rep3,11
B.3,b6,16C,rep3,12
B.3,b6,16C,rep3,13
B.3,b6,16C,rep3,14
B.3,b6,16C,rep3,15
B.3,b6,16C,rep3,16
B.3,b6,16C,rep3,17
B.3,b6,16C,rep3,18
B.3,b6,16C,rep3,19
B.3,b6,16C,rep3,20
B.3,b6,16C,rep3,21
D.9,c7,16C,rep1,0
D.9,c7,16C,rep1,1
D.9,c7,16C,rep1,2
D.9,c7,16C,rep1,3
D.9,c7,16C,rep1,4
D.9,c7,16C,rep1,5
D.9,c7,16C,rep1,6
D.9,c7,16C,rep1,7
D.9,c7,16C,rep1,8
D.9,c7,16C,rep1,9
D.9,c7,16C,rep1,10
D.9,c7,16C,rep1,11
D.9,c7,16C,rep1,12
D.9,c7,16C,rep1,13
D.9,c7,16C,rep1,14
D.9,c7,16C,rep1,15
D.9,c7,16C,rep1,16
D.9,c7,16C,rep1,17
D.9,c7,16C,rep1,18
D.9,c7,16C,rep1,19
D.9,c7,16C,rep1,20
D.9,c7,16C,rep1,21
D.3,d3,16C,rep3,0
D.3,d3,16C,rep3,1
D.3,d3,16C,rep3,2
D.3,d3,16C,rep3,3
D.3,d3,16C,rep3,4
D.3,d3,16C,rep3,5
D.3,d3,16C,rep3,6
D.3,d3,16C,rep3,7
D.3,d3,16C,rep3,8
D.3,d3,16C,rep3,9
D.3,d3,16C,rep3,10
D.9,c7,16C,rep2,0
D.9,c7,16C,rep2,1
D.9,c7,16C,rep2,2
D.9,c7,16C,rep2,3
D.9,c7,16C,rep2,4
D.9,c7,16C,rep2,5
D.9,c7,16C,rep2,6
D.9,c7,16C,rep2,7
D.9,c7,16C,rep2,8
D.9,c7,16C,rep2,9
D.9,c7,16C,rep2,10
D.9,c7,16C,rep2,11
D.9,c7,16C,rep2,12
D.9,c7,16C,rep2,13
D.9,c7,16C,rep2,14
D.9,c7,16C,rep2,15
D.9,c7,16C,rep2,16
D.9,c7,16C,rep2,17
D.9,c7,16C,rep2,18
D.9,c7,16C,rep2,19
D.9,c7,16C,rep2,20
D.9,c7,16C,rep2,21
A.7,b2,16C,rep2,0
A.7,b2,16C,rep2,1
A.7,b2,16C,rep2,2
A.7,b2,16C,rep2,3
A.7,b2,16C,rep2,4
A.7,b2,16C,rep2,5
A.7,b2,16C,rep2,6
A.7,b2,16C,rep2,7
A.7,b2,16C,rep2,8
A.7,b2,16C,rep2,9
A.7,b2,16C,rep2,10
A.7,b2,16C,rep2,11
A.7,b2,16C,rep2,12
